url,village,districts,province,provincial_capital,lng,lat
http://www.iecity.com/xian/map/Detail66484849684856537750.html,西河滩村地图,长安区,陕西省,西安,109.106721,34.038863
http://www.iecity.com/xian/map/Detail66484849684856496671.html,新李地图,高陵区,陕西省,西安,109.135941,34.54849
http://www.iecity.com/xian/map/Detail66484849684856536649.html,新兴村地图,鄠邑区,陕西省,西安,108.626297,34.020973
http://www.iecity.com/xian/map/Detail66484849684856494868.html,西魏地图,阎良区,陕西省,西安,109.250709,34.621799
http://www.iecity.com/xian/map/Detail66484849684856536684.html,草堂营村地图,鄠邑区,陕西省,西安,108.7488,34.008751
http://www.iecity.com/xian/map/Detail66484849684856535784.html,南斑村地图,鄠邑区,陕西省,西安,108.575678,34.068235
http://www.iecity.com/xian/map/Detail66484849684856488289.html,南寨地图,阎良区,陕西省,西安,109.421892,34.662454
http://www.iecity.com/xian/map/Detail66484849684856489057.html,吕家地图,阎良区,陕西省,西安,109.166585,34.660293
http://www.iecity.com/xian/map/Detail66484849684856537190.html,新二村地图,长安区,陕西省,西安,108.83002,34.055679
http://www.iecity.com/xian/map/Detail66484849684856495371.html,邓家地图,高陵区,陕西省,西安,109.062997,34.554408
http://www.iecity.com/xian/map/Detail66484849684856488151.html,孙村地图,阎良区,陕西省,西安,109.363222,34.72896
http://www.iecity.com/xian/map/Detail66484849684856518467.html,南留村地图,周至县,陕西省,西安,108.113578,34.112921
http://www.iecity.com/xian/map/Detail66484849684856765677.html,马坊村地图,鄠邑区,陕西省,西安,108.516951,34.179256
http://www.iecity.com/xian/map/Detail66484849684949695072.html,东张村地图,灞桥区,陕西省,西安,109.156478,34.212329
http://www.iecity.com/xian/map/Detail66484849684856768388.html,韭菜滩地图,长安区,陕西省,西安,108.886478,33.861195
http://www.iecity.com/xian/map/Detail66484849684949564985.html,唐刘村地图,灞桥区,陕西省,西安,109.152364,34.276994
http://www.iecity.com/xian/map/Detail66487070706573748551.html,张家堡地图,周至县,陕西省,西安,108.097872,34.153697
http://www.iecity.com/xian/map/Detail66484849684856496968.html,西庄地图,临潼区,陕西省,西安,109.280987,34.545157
http://www.iecity.com/xian/map/Detail66484849684949564874.html,南新村地图,长安区,陕西省,西安,108.830301,34.176801
http://www.iecity.com/xian/map/Detail66484849684856548371.html,张家梁地图,周至县,陕西省,西安,108.190342,33.8847
http://www.iecity.com/xian/map/Detail66484849684886794872.html,南赵村地图,临潼区,陕西省,西安,109.435863,34.555917
http://www.iecity.com/xian/map/Detail66484849684856545275.html,木格地图,鄠邑区,陕西省,西安,108.61322,33.991258
http://www.iecity.com/xian/map/Detail66484849684856518649.html,张家湾地图,周至县,陕西省,西安,108.02341,34.105887
http://www.iecity.com/xian/map/Detail66484849684856535650.html,张家庵地图,周至县,陕西省,西安,108.404808,34.060195
http://www.iecity.com/xian/map/Detail66484849684856518884.html,张家庄地图,周至县,陕西省,西安,108.199418,34.11175
http://www.iecity.com/xian/map/Detail66487070706869667972.html,枣园苏村地图,灞桥区,陕西省,西安,109.073961,34.262624
http://www.iecity.com/xian/map/Detail66484849684949565188.html,尤家庄村地图,未央区,陕西省,西安,108.942785,34.325867
http://www.iecity.com/xian/map/Detail66484849684949688854.html,新合村地图,灞桥区,陕西省,西安,109.098923,34.393011
http://www.iecity.com/xian/map/Detail66487070708178484986.html,新合村地图,临潼区,陕西省,西安,109.347299,34.415301
http://www.iecity.com/xian/map/Detail66487070708472658570.html,新合村地图,临潼区,陕西省,西安,109.198759,34.516284
http://www.iecity.com/xian/map/Detail66487070706573697882.html,新合村地图,临潼区,陕西省,西安,109.445841,34.341007
http://www.iecity.com/xian/map/Detail66487070708472498350.html,杨家庄地图,周至县,陕西省,西安,108.177607,34.175214
http://www.iecity.com/xian/map/Detail66484849684949896984.html,新合村地图,临潼区,陕西省,西安,109.244281,34.555181
http://www.iecity.com/xian/map/Detail66484849684856518584.html,杨家庄地图,周至县,陕西省,西安,108.048404,34.142658
http://www.iecity.com/xian/map/Detail66484849684856767674.html,杨家庄地图,蓝田县,陕西省,西安,109.254242,34.089111
http://www.iecity.com/xian/map/Detail66484849684856537988.html,汤家庄村地图,蓝田县,陕西省,西安,109.206882,34.043116
http://www.iecity.com/xian/map/Detail66487282538055878765.html,三江村地图,碑林区,陕西省,西安,108.965715,34.245339
http://www.iecity.com/xian/map/Detail66484849684856527675.html,蒋寨村地图,蓝田县,陕西省,西安,109.372721,34.132028
